Section,Page Title,Page Slug,Docs URL,Page Source (.md),OpenAPI / Spec Filename,OpenAPI / Spec Repo Path,Spec Resolve Status,operationId,HTTP Method,API Path,OpenAPI Version,Spec Title,Hidden,Deprecated,Spec File mtime (UTC),Spec Git Last Commit (ISO)
payouts,Get Account Details API - Payouts,get-account-details-api-payouts,https://docs.payu.in/reference/get-account-details-api-payouts,reference/payouts/payouts-initiation-and-tracking/get-account-details-api-payouts.md,payout-for-merchants-16.json,reference/payout-for-merchants-16.json,found,Getaccountdetail,GET,/merchant/getAccountDetail,3.1.0,Payout For Merchants,FALSE,FALSE,2026-08-05T06:27:18.721507+00:00,2025-04-29T06:52:46+00:00
payouts,Get IFSC Details API,get-ifsc-details-api,https://docs.payu.in/reference/get-ifsc-details-api,reference/payouts/verification-and-validation/get-ifsc-details-api.md,payouts-api-8.json,reference/payouts-api-8.json,found,GetIFSCDetailsAPI,GET,/merchant/getIfscDetails,3.1.0,Payouts API,FALSE,FALSE,2026-08-05T06:27:18.725508+00:00,2025-04-29T06:52:47+00:00
payouts,Initiate Transfer API,initiate-transfer-api,https://docs.payu.in/reference/initiate-transfer-api,reference/payouts/payouts-initiation-and-tracking/initiate-transfer-api.md,initiate_transfer.json,reference/initiate_transfer.json,found,InitiateTransferAPI,POST,/v2/payment,3.1.0,Payouts API,FALSE,,2026-08-05T06:27:18.705501+00:00,2026-04-07T12:27:10+00:00
payouts,smart_send_details_api,smart_send_details_api,https://docs.payu.in/reference/smart_send_details_api,reference/payouts/smart-send-apis/smart_send_details_api.md,paritalgeneral-apis-13.json,reference/paritalgeneral-apis-13.json,found,SmartSendDetailsAPI,GET,/merchant/smartSend/details,3.1.0,ParitalGeneral APIs,FALSE,,2026-08-05T06:27:18.713504+00:00,2026-06-27T15:13:50+00:00
payouts,Validate VPA - Payouts,validatevpa,https://docs.payu.in/reference/validatevpa,reference/payouts/verification-and-validation/validatevpa.md,paritalgeneral-apis-9.json,reference/paritalgeneral-apis-9.json,found,validateVPA,POST,/merchant/validateVpa,3.1.0,ParitalGeneral APIs,FALSE,FALSE,2026-08-05T06:27:18.713504+00:00,2025-04-29T06:52:48+00:00
payouts,Verify Account or Penny Test API,verifyaccount,https://docs.payu.in/reference/verifyaccount,reference/payouts/verification-and-validation/verifyaccount.md,paritalgeneral-apis-18.json,reference/paritalgeneral-apis-18.json,found,VerifyAccount,POST,/payment/verifyAccount,3.1.0,ParitalGeneral APIs,FALSE,FALSE,2026-08-05T06:27:18.713504+00:00,2025-04-29T06:52:47+00:00
Pre-Authorize Payment,capture_a_payment,capture_a_payment,https://docs.payu.in/reference/capture_a_payment,reference/Pre-Authorize Payment/capture_a_payment.md,emi-apis-6.json,reference/emi-apis-6.json,found,CapturePreAuth,POST,/merchant/postservice.php,3.1.0,EMI APIs,FALSE,FALSE,2026-08-05T06:27:18.749516+00:00,2026-05-13T05:47:26+00:00
Pre-Authorize Payment,pre_authorize_payment,pre_authorize_payment,https://docs.payu.in/reference/pre_authorize_payment,reference/Pre-Authorize Payment/pre-authorize-payments-for-cards/pre_authorize_payment.md,payment-api-9.json,reference/payment-api-9.json,found,PayUHostedCheckoutwithPre-AuthorizePayment,POST,/_payment,3.1.0,Payment API,FALSE,,2026-08-05T06:27:18.721507+00:00,2026-06-27T11:30:50+00:00
Pre-Authorize Payment,pre_authorize_payment_merchant_hosted,pre_authorize_payment_merchant_hosted,https://docs.payu.in/reference/pre_authorize_payment_merchant_hosted,reference/Pre-Authorize Payment/pre-authorize-payments-for-cards/pre_authorize_payment_merchant_hosted.md,payment-api-10.json,reference/payment-api-10.json,found,MerchantHostedPre-AuthorizePayment,POST,/_payment,3.1.0,Payment API,FALSE,,2026-08-05T06:27:18.721507+00:00,2026-06-27T11:30:23+00:00
split settlements,Get Aggregator/Parent Transaction Info API,get_aggregator_parent_transaction_info_api,https://docs.payu.in/reference/get_aggregator_parent_transaction_info_api,reference/split settlements/get-transaction-information-apis/get_aggregator_parent_transaction_info_api.md,get-aggregatorparent-transaction-info-2.json,reference/get-aggregatorparent-transaction-info-2.json,found,GetAggregator/ParentTransactionInfo,POST,/postservice,3.1.0,Get Aggregator/Parent Transaction Info,FALSE,FALSE,2026-08-05T06:27:18.753517+00:00,2025-04-29T06:52:42+00:00
